Latitude,Longitude,Precision,Site,District,State,Year,Field,Dated,Investigator,Institute,Notes,Reference
22.408038,87.381073,3,Tildah,Midnapore,West Bengal,1954,Excavation,Gupta,University,University of Calcutta,"notes structures, pottery",IAR 1955: 23
17.524865,82.901069,3,Kotturu,Visakhapatnam,Andhra Pradesh,1954,Excavation,?,Survey,Survey,"notes structures, pottery",IAR 1955: 23-24
22.751069,77.780967,3,Sirpur,Raipur,Madhya Pradesh,1954,Excavation,?,University,University of Saugor,"notes monastery, bricks, coins, pottery; includes plan",IAR 1955: 24-26
25.910928,85.995572,3,Karian,Darbhanga,Bihar,1954,Excavation,900-1800,University,KP Jayaswal Research Institute,notes structural remains,IAR 1955: 26
30.207984,74.937463,9,Bhatinda Fort,Bhatinda,Punjab,1954,Excavation,Medieval,Survey,Survey,notes structures; includes photos,IAR 1955: 26
25.029119,74.612037,3,Dodha,Chittorgarh,Rajasthan,1954,Exploration,Paleolithic,Survey,Survey,notes 'South Rajasthan seems to have been a pivotal region where both the Sohan industry of Panjab and the Madras handaxe industry met'; notes proximity to river-beds,IAR 1954: 58
25.108222,74.884337,3,Parsoli,Chittorgarh,Rajasthan,1954,Exploration,Paleolithic,Survey,Survey,notes 'South Rajasthan seems to have been a pivotal region where both the Sohan industry of Panjab and the Madras handaxe industry met'; notes proximity to river-beds,IAR 1954: 58
24.888744,74.626922,3,Bichore,Chittorgarh,Rajasthan,1954,Exploration,Paleolithic,Survey,Survey,notes 'South Rajasthan seems to have been a pivotal region where both the Sohan industry of Panjab and the Madras handaxe industry met'; notes proximity to river-beds,IAR 1954: 58
25.044605,74.828781,3,Haripura,Chittorgarh,Rajasthan,1954,Exploration,Paleolithic,Survey,Survey,notes 'South Rajasthan seems to have been a pivotal region where both the Sohan industry of Panjab and the Madras handaxe industry met'; notes proximity to river-beds,IAR 1954: 58
24.888744,74.626922,3,Rathanjna,Chittorgarh,Rajasthan,1954,Exploration,Paleolithic,Survey,Survey,notes 'South Rajasthan seems to have been a pivotal region where both the Sohan industry of Panjab and the Madras handaxe industry met'; notes proximity to river-beds,IAR 1954: 58
24.888744,74.626922,3,Sigoh,Chittorgarh,Rajasthan,1954,Exploration,Paleolithic,Survey,Survey,notes 'South Rajasthan seems to have been a pivotal region where both the Sohan industry of Panjab and the Madras handaxe industry met'; notes proximity to river-beds,IAR 1954: 58
24.888744,74.626922,3,Tajpura,Chittorgarh,Rajasthan,1954,Exploration,Paleolithic,Survey,Survey,notes 'South Rajasthan seems to have been a pivotal region where both the Sohan industry of Panjab and the Madras handaxe industry met'; notes proximity to river-beds,IAR 1954: 58
24.888744,74.626922,3,Dhangadman,Chittorgarh,Rajasthan,1954,Exploration,Paleolithic,Survey,Survey,notes 'South Rajasthan seems to have been a pivotal region where both the Sohan industry of Panjab and the Madras handaxe industry met'; notes proximity to river-beds,IAR 1954: 58
31.029186,76.621561,3,Dher Majra,Shimla,Himachal Pradesh,1954,Exploration,Paleolithic,Survey,Survey,notes Sohan tradition,IAR 1954: 58
31.104815,77.173403,3,Shang,Shimla,Himachal Pradesh,1954,Exploration,Paleolithic,Survey,Survey,notes Sohan tradition,IAR 1954: 58
31.143354,77.760943,3,Dadhi,Shimla,Himachal Pradesh,1954,Exploration,Paleolithic,Survey,Survey,notes Sohan tradition,IAR 1954: 58
31.104815,77.173403,3,Merhanwala,Shimla,Himachal Pradesh,1954,Exploration,Paleolithic,Survey,Survey,notes Sohan tradition,IAR 1954: 58
31.706204,75.804002,3,Daulatpur,Hoshiarpur,Punjab,1954,Exploration,Paleolithic,Survey,Survey,notes Sohan tradition,IAR 1954: 58
20.35035,74.974942,3,Patan,Jalgaon,Maharashtra,1954,Exploration,Microlithic,Survey,Survey,"notes lithics, chalcedony, quartz, chert, jaspar",IAR 1955:59
22.744108,77.736967,3,Adamgarh,Hoshangabad,Madhya Pradesh,1954,Exploration,Microlithic,Survey,Survey,"notes lithics, previous work",IAR 1955:59
31.091295,76.039191,3,Dhang,Nawanshahr,Punjab,1954,Exploration,Harappan,Survey,Survey,"notes sites on river terraces; had not stopped at Rupar, went further north into hills",IAR 1955:59
31.091295,76.039191,3,Merhanwala,Nawanshahr,Punjab,1954,Exploration,Harappan,Survey,Survey,"notes sites on river terraces; had not stopped at Rupar, went further north into hills",IAR 1955:59
31.149466,76.038466,3,Manguwal,Nawanshahr,Punjab,1954,Exploration,Harappan,Survey,Survey,"notes sites on river terraces; had not stopped at Rupar, went further north into hills",IAR 1955:59
31.135142,76.358664,3,Baddi,Nawanshahr,Punjab,1954,Exploration,Harappan,Survey,Survey,"notes sites on river terraces; had not stopped at Rupar, went further north into hills",IAR 1955: 59
21.468982,70.370291,3,Beran,Sorath,Gujarat,1954,Exploration,Microlithic,Survey,Survey,"notes sites, and map",IAR 1955:59
21.468982,70.370291,3,Keshav,Sorath,Gujarat,1954,Exploration,Microlithic,Survey,Survey,"notes sites, and map",IAR 1955:59
24.597349,76.160984,3,Kaero Timbo,Jhalawar,Rajasthan,1954,Exploration,Harappan,Survey,Survey,"notes sites, and map",IAR 1955:59
24.597349,76.160984,3,Goni Timbo,Jhalawar,Rajasthan,1954,Exploration,Harappan,Survey,Survey,"notes sites, and map",IAR 1955:59
24.597349,76.160984,3,Samadhiala,Jhalawar,Rajasthan,1954,Exploration,Harappan,Survey,Survey,"notes sites, and map",IAR 1955:59
24.597349,76.160984,3,Chashiana,Jhalawar,Rajasthan,1954,Exploration,Harappan,Survey,Survey,"notes sites, and map",IAR 1955:59
22.553712,72.223735,3,Lothal,Ahmedabad,Gujarat,1954,Exploration,Harappan,Survey,Survey,"notes sites, and map",IAR 1955:59
23.022505,72.571362,3,Kana Sutaria,Ahmedabad,Gujarat,1954,Exploration,Harappan,Survey,Survey,"notes sites, and map",IAR 1955:59
27.430998,76.189966,3,Bairat,Jaipur,Rajasthan,1954,Exploration,PGW,Survey,Survey,notes pottery,IAR 1955: 59-62
27.631348,76.851916,3,Bijwa,Alwar,Rajasthan,1954,Exploration,PGW,Survey,Survey,notes pottery,IAR 1955: 59-62
28.459497,77.026638,3,Bhadasa,Gurgaon,Haryana,1954,Exploration,PGW,Survey,Survey,notes pottery,IAR 1955: 59-62
28.459497,77.026638,3,Malab,Gurgaon,Haryana,1954,Exploration,PGW,Survey,Survey,notes pottery,IAR 1955: 59-62
28.459497,77.026638,3,Gohana,Gurgaon,Haryana,1954,Exploration,PGW,Survey,Survey,notes pottery,IAR 1955: 59-62
27.605621,78.053781,3,Hathras,Aligarh,Uttar Pradesh,1954,Exploration,NBPW,Survey,Survey,notes pottery,IAR 1955: 59-62
17.42427,78.434694,3,South Hyderabad,Hyderabad,Andhra Pradesh,1954,Exploration,Microlithic,State,Hyderabad State,notes pottery,IAR 1955: 59-62
16.904936,80.102026,5,Ter,Hyderabad,Andhra Pradesh,1954,Exploration,Andhra,State,Hyderabad State,notes pottery,IAR 1955: 59-62
26.111868,85.896004,3,Baligarh,Darbhanga,Bihar,1954,Exploration,NBPW,University,KP Jayaswal Research Institute,notes pottery,IAR 1955: 59-62
25.916245,87.164727,3,Dharhara,Purnia,Bihar,1954,Exploration,NBPW,University,KP Jayaswal Research Institute,notes pottery,IAR 1955: 59-62
25.996113,85.115518,3,Chakramdas,Muzaffarpur,Bihar,1954,Exploration,NBPW,University,KP Jayaswal Research Institute,notes pottery,IAR 1955: 59-62
25.374756,86.473525,3,Pirnagara,Munger,Bihar,1954,Exploration,NBPW,University,KP Jayaswal Research Institute,notes pottery,IAR 1955: 59-62
22.21481988,70.38256737,5,Kalavad,Halar,Gujarat,1954,Exploration,?,State,Gujarat State,notes pottery,IAR 1955: 59-62
21.468982,70.370291,3,Arena,Sorath,Gujarat,1954,Exploration,?,State,Gujarat State,notes pottery,IAR 1955: 59-62
21.468982,70.370291,3,Boricha,Sorath,Gujarat,1954,Exploration,?,State,Gujarat State,notes pottery,IAR 1955: 59-62
20.843683,70.475919,3,Sutrapada,Sorath,Gujarat,1954,Exploration,?,State,Gujarat State,notes pottery,IAR 1955: 59-62
21.468982,70.370291,3,Bhadaria,Sorath,Gujarat,1954,Exploration,?,State,Gujarat State,notes pottery,IAR 1955: 59-62
17.32125,82.040714,3,Yegumalli Tatakonda,East Godavari,Andhra Pradesh,1954,Exploration,?,Survey,Survey,notes pottery,IAR 1955: 59-62
14.681888,77.600591,3,Lingarau-palem,Anantapur,Andhra Pradesh,1954,Exploration,?,University,Kannada Research Institute,notes pottery,IAR 1955: 59-62
15.458924,75.007808,3,Herakal,Dharwar,Karnataka,1954,Exploration,Andhra,University,Kannada Research Institute,notes pottery,IAR 1955: 59-62
15.342263,75.143463,9,Ittagi,Dharwar,Karnataka,1954,Exploration,Megalithic,University,Kannada Research Institute,notes pottery,IAR 1955: 59-62
16.830171,75.710031,3,Pattadakal,Bijapur,Karnataka,1954,Exploration,Megalithic,University,Kannada Research Institute,notes pottery,IAR 1955: 59-62
24.513182,75.747324,3,Bhanpura,Mandasor,Madhya Pradesh,1954,Exploration,10th-11th,State,Madhya Pradesh State,notes pottery,IAR 1955: 59-62
24.615873,75.742964,3,Navli,Mandasor,Madhya Pradesh,1954,Exploration,10th-11th,State,Madhya Pradesh State,notes pottery,IAR 1955: 59-62
24.626864,75.827248,3,Kethuli,Mandasor,Madhya Pradesh,1954,Exploration,10th-11th,State,Madhya Pradesh State,notes pottery,IAR 1955: 59-62
24.076836,75.069295,3,Taksake-swar,Mandasor,Madhya Pradesh,1954,Exploration,10th-11th,State,Madhya Pradesh State,notes pottery,IAR 1955: 59-62
24.718522,75.783659,3,Hinglagarh,Mandasor,Madhya Pradesh,1954,Exploration,10th-11th,State,Madhya Pradesh State,notes pottery,IAR 1955: 59-62
24.076836,75.069295,3,Chainpur,Mandasor,Madhya Pradesh,1954,Exploration,10th-11th,State,Madhya Pradesh State,notes pottery,IAR 1955: 59-62
24.076836,75.069295,3,Sheopur,Mandasor,Madhya Pradesh,1954,Exploration,10th-11th,State,Madhya Pradesh State,notes pottery,IAR 1955: 59-62
19.626291,76.540875,3,Charthana,Parbhani,Maharashtra,1954,Exploration,?,State,Hyderabad State,notes pottery,IAR 1955: 59-62
17.094416,79.775032,3,Madharam,Nalgonda,Andhra Pradesh,1954,Exploration,?,State,Hyderabad State,notes pottery,IAR 1955: 59-62
17.528743,78.266725,3,Patancheru,Medak,Andhra Pradesh,1954,Exploration,?,State,Hyderabad State,notes pottery,IAR 1955: 59-62
17.380686,78.324479,3,Gandipet,Hyderabad,Andhra Pradesh,1954,Exploration,?,State,Hyderabad State,notes pottery,IAR 1955: 59-62
17.91488,77.50461,3,Kalyani,Bidar,Karnataka,1954,Exploration,?,State,Hyderabad State,notes pottery,IAR 1955: 59-62
20.888211,70.405998,3,Prabhas Patan,Gir Somnath,Gujarat,1954,Exploration,?,State,Gujarat State,notes pottery,IAR 1955: 59-62
26.645819,76.268187,3,Abaneri,Dausa,Rajasthan,1954,Exploration,?,State,Rajasthan State,notes pottery,IAR 1955: 59-62
25.75464,71.098497,5,Kiradu,Barmer,Rajasthan,1954,Exploration,?,State,Rajasthan State,notes pottery,IAR 1955: 59-62
25.240847,80.386742,3,Bariyari,Banda,Uttar Pradesh,1955,Exploration,Stone Age,University,University of Allahabad,"notes proximity to Kausambi and tributary of Yamuna; 3 terraces, Madras complex, Levallois, and Upper Paleolithic, microlithic, no pottery ",IAR 1956: 04
25.479622,80.338021,3,Siddapura,Banda,Uttar Pradesh,1955,Exploration,Microlithic,University,University of Allahabad,"notes lithics, bone tools and horn, pottery",IAR 1956: 04
25.479622,80.338021,3,Khoh,Banda,Uttar Pradesh,1955,Exploration,?,University,University of Allahabad,notes proximity to Karvi within 8 mile radius; stone celts,IAR 1956: 04
25.391276,80.929068,3,Agarhunda,Banda,Uttar Pradesh,1955,Exploration,?,University,University of Allahabad,notes proximity to Karvi within 8 mile radius; stone celts,IAR 1956: 04
25.479622,80.338021,3,Marjadpura,Banda,Uttar Pradesh,1955,Exploration,?,University,University of Allahabad,notes proximity to Karvi within 8 mile radius; stone celts,IAR 1956: 04
25.479622,80.338021,3,Chakond,Banda,Uttar Pradesh,1955,Exploration,?,University,University of Allahabad,notes proximity to Karvi within 8 mile radius; stone celts,IAR 1956: 04
19.551177,74.928106,3,Nevasa,Ahmednagar,Maharashtra,1955,Exploration,Stone Age,University,Deccan College,"notes Godavari and Pravara basins; Series I on dolerite and II on chert, agate, jasper, Levallois in between",IAR 1956: 05
19.54063,74.005428,3,Akola,Ahmednagar,Maharashtra,1955,Exploration,Stone Age,University,Deccan College,notes 100 mile distance between Akola and Pravana-Sangam - Series I and II,IAR 1956: 05
19.532021,74.118857,3,Dhandharphal,Ahmednagar,Maharashtra,1955,Exploration,Stone Age,University,Deccan College,Series II,IAR 1956: 05
19.574869,74.645899,3,Belapur,Ahmednagar,Maharashtra,1955,Exploration,Stone Age,University,Deccan College,Series II,IAR 1956: 05
19.204544,74.888722,3,Kolhar,Ahmednagar,Maharashtra,1955,Exploration,Stone Age,University,Deccan College,Series II,IAR 1956: 05
19.095208,74.749592,3,Kadit Khurd,Ahmednagar,Maharashtra,1955,Exploration,Stone Age,University,Deccan College,Series II and pottery,IAR 1956: 05
19.350367,75.219372,3,Shenvadigaon,Ahmednagar,Maharashtra,1955,Exploration,Stone Age,University,Deccan College,Series II,IAR 1956: 05
19.512185,74.784176,3,Kopare,Ahmednagar,Maharashtra,1955,Exploration,Stone Age,University,Deccan College,Series II,IAR 1956: 05
19.568904,74.854368,3,Punatgaon,Ahmednagar,Maharashtra,1955,Exploration,Stone Age,University,Deccan College,Series II,IAR 1956: 05
18.880233,74.697126,3,Chikhali,Ahmednagar,Maharashtra,1955,Exploration,Stone Age,University,Deccan College,Series I and II,IAR 1956: 05
19.095208,74.749592,3,Vanghikhurd,Ahmednagar,Maharashtra,1955,Exploration,Stone Age,University,Deccan College,Series I and II,IAR 1956: 05
19.2424,73.1639,3,Sangam,Ahmednagar,Maharashtra,1955,Exploration,Stone Age,University,Deccan College,Series I and II,IAR 1956: 05
19.606494,74.87447,3,Belpandhari,Ahmednagar,Maharashtra,1955,Exploration,Stone Age,University,Deccan College,notes Godavari basin; 20 mile radius from Nevasa; tools and fossil bones; Series I and II,IAR 1956: 05
19.330649,75.361622,3,Warkhed,Ahmednagar,Maharashtra,1955,Exploration,Stone Age,University,Deccan College,notes Godavari basin; 20 mile radius from Nevasa; tools and fossil bones; Series I and II,IAR 1956: 05
19.524963,74.968367,3,Kalegaon,Ahmednagar,Maharashtra,1955,Exploration,Stone Age,University,Deccan College,notes Godavari basin; 20 mile radius from Nevasa; tools and fossil bones; Series I and II,IAR 1956: 05
