File,ID,Site,District,State,Year,Field,Dated,Latitude,Longitude,Accuracy,Ins_ID,Institute,Institute-2,Institute-3,Institute-4,Team,Archaeologist,Archaeologist-2,Archaeologist-3,Archaeologist-4,Archaeologist-5,Archaeologist-6,Archaeologist-7,Notes,Reference,Source
IAR_1950s_160111_clean.csv,,Paithan,Ahmednagar,Maharashtra,1953,Exploration,Chalcolithic,19.437851,73.915407,3,2,Deccan College,,,,,HD Sankalia,,,,,,,notes microliths and pottery,IAR 1954: 37,
IAR_1950s_160111_clean.csv,,Chitorgarh,Ahmednagar,Maharashtra,1953,Exploration,Paleolithic,19.095208,74.749592,3,1,Survey,,,,Western Circle,,,,,,,,"notes handaxes, choppers: correlate Soan with Madras industry",IAR 1954: 37,
IAR_1950s_160111_clean.csv,,Patan,Jalgaon,Maharashtra,1953,Exploration,Microlithic,20.35035,74.974942,3,1,Survey,,,,Archaeological Chemist,,,,,,,,"notes microliths near river-bed; quartz, chert, jasper, chalcedony",IAR 1954: 37,
IAR_1950s_160111_clean.csv,,Adamgarh,Hoshangabad,Madhya Pradesh,1953,Exploration,?,22.744108,77.736967,3,1,Survey,,,,Archaeological Chemist,,,,,,,,notes previous work by M Ghose and DH Gordon; points out 'collection enlarges the range very considerably',IAR 1954: 37,
IAR_1950s_160111_clean.csv,,Bikkun,Ambala,Punjab,1953,Exploration,Harappan,30.093381,76.610258,3,1,Survey,,,,Excavation Branch,,,,,,,,notes sites on Upper Sutlej while excavating Rupar; Harappan and PGW,IAR 1954: 38,
IAR_1950s_160111_clean.csv,,Bara,Ambala,Punjab,1953,Exploration,Harappan,30.296242,76.798567,3,1,Survey,,,,Excavation Branch,,,,,,,,notes sites on Upper Sutlej while excavating Rupar; Harappan and PGW,IAR 1954: 38,
IAR_1950s_160111_clean.csv,,Salaura,Ambala,Punjab,1953,Exploration,Harappan,30.093381,76.610258,3,1,Survey,,,,Excavation Branch,,,,,,,,notes sites on Upper Sutlej while excavating Rupar; Harappan and PGW,IAR 1954: 38,
IAR_1950s_160111_clean.csv,,Talapura,Ambala,Punjab,1953,Exploration,Harappan,30.093381,76.610258,3,1,Survey,,,,Excavation Branch,,,,,,,,notes sites on Upper Sutlej while excavating Rupar; Harappan and PGW,IAR 1954: 38,
IAR_1950s_160111_clean.csv,,Chamkaur,Ambala,Punjab,1953,Exploration,Harappan,30.093381,76.610258,3,1,Survey,,,,Excavation Branch,,,,,,,,notes sites on Upper Sutlej while excavating Rupar; Harappan and PGW,IAR 1954: 38,
IAR_1950s_160111_clean.csv,,Hawara,Ambala,Punjab,1953,Exploration,Harappan,30.093381,76.610258,3,1,Survey,,,,Excavation Branch,,,,,,,,notes sites on Upper Sutlej while excavating Rupar; Harappan and PGW,IAR 1954: 38,
IAR_1950s_160111_clean.csv,,Gop,Porbandar,Gujarat,1953,Exploration,Rangpur,21.641707,69.629265,3,1,Survey,,,,Western Circle,,,,,,,,notes pottery,IAR 1954: 38,
IAR_1950s_160111_clean.csv,,Pariar,Unao,Uttar Pradesh,1953,Exploration,PGW,26.636613,80.31574,3,1,Survey,,,,Excavation Branch,,,,,,,,notes copper harpoons; PGW 'marks an eastern limit of that ware',IAR 1954: 38,
IAR_1950s_160111_clean.csv,,Topran,Medak,Andhra Pradesh,1953,Exploration,Megalithic,17.8447,78.48,,3,Hyderabad State,,,,Department,,,,,,,,notes vurials,IAR 1954: 38,
IAR_1950s_160111_clean.csv,,Amaravati,Guntur,Andhra Pradesh,1953,Exploration,NBPW,16.572983,80.357513,3,1,Survey,,,,Southern Circle,,,,,,,,"notes pottery, stupa; points out 'they mark the south-eastern limit of spread of that ware'",IAR 1954: 38,
IAR_1950s_160111_clean.csv,,Modhera,Mehsana,Gujarat,1953,Exploration,Chaulukya,23.583582,72.140132,3,1,Survey,,,,Western Circle,,,,,,,,"notes sun-temple; red polished ware, coins",IAR 1954: 38,
IAR_1950s_160111_clean.csv,,Kherhi Hill,Bhagalpur,Bihar,1953,Exploration,Pala,25.24143,86.992436,3,1,Survey,,,,Mid-eastern Circle,,,,,,,,"notes fort, temples, images",IAR 1954: 38,
IAR_1950s_160111_clean.csv,,Nilkantha,Alwar,Rajasthan,1953,Exploration,Medieval,27.552991,76.634573,3,1,Survey,,,,Mid-eastern Circle,,,,,,,,"notes sculptures, medieval temples",IAR 1954: 38,
IAR_1950s_160111_clean.csv,,Kudalur,Mysore,Karnataka,1953,Exploration,Medieval,12.617265,76.071099,3,3,Mysore State,,,,Department,,,,,,,,"notes metallic images, medieval temple",IAR 1954: 38,
IAR_1950s_160111_clean.csv,,Raipur,Kota,Rajasthan,1953,Exploration,Gupta,26.041164,74.01973,3,3,Rajasthan State,,,,Archaeology and Museums,,,,,,,,"notes Jaina images, inscriptions",IAR 1954: 38,
IAR_1950s_160111_clean.csv,,Nevasa,Ahmednagar,Maharashtra,1954,Excavation,Neolithic,19.551177,74.928106,3,2,Deccan College,,,,,HD Sankalia,,,,,,,"notes paleolithic, neolithic-chalcolithic, early historical, Roman-Satavahana and Muslim; lithics, fossils, aggradation of river, pottery, storage jars, burials, huts; dated to 1000 BC 'on basis of its affinity with the Stone Axe Culture of Brahmagiri and microlithic blade-industry of Navda Toli'; coins includes figures",IAR 1955: 5-9,
IAR_1950s_160111_clean.csv,,Rupar,Ambala,Punjab,1954,Excavation,Harappan,30.093381,76.610258,3,1,Survey,,,,Excavations Branch,YD Sharma,,,,,,,"notes attention to cemetery, distrubed by PGW people, notes position, grave goods",IAR 1955: 10-11,
IAR_1950s_160111_clean.csv,,Bara,Ambala,Punjab,1954,Excavation,Harappan,30.296242,76.798567,3,1,Survey,,,,Excavations Branch,YD Sharma,,,,,,,"notes proximity to Rupar; to confirm gap between the end of Harappa and PGW arrival; no structures; waves of Harappans - new ideas and ceramic traditions; 15ft accumulation; differentiates from Rupar - pottery shapes, decoration and from Harappa and Mohenjodaro; similarities with sites in Bikaner; includes photos",IAR 1955: 11,
IAR_1950s_160111_clean.csv,,Salaura,Ambala,Punjab,1954,Excavation,Harappan,30.093381,76.610258,3,1,Survey,,,,Excavations Branch,YD Sharma,,,,,,,notes proximity to Bara; structures in medieval; includes photos,IAR 1955: 11,
IAR_1950s_160111_clean.csv,,Rangpur,Jhalawar,Rajasthan,1954,Excavation,Harappan,24.597349,76.160984,3,1,Survey,,,,Western Circle,SR Rao,,,,,,,"notes previous work; proximity to Lothal, Harappan settlement with long life; drains, structures, 30 miles NE Lothal; sequence from Harappan to NBPW; points out natural death - 'deteriorated, transformed into subsequent culture' of lustrous red pottery; shapes, gradual change, new into vogue; includes photos",IAR 1955: 12,
IAR_1950s_160111_clean.csv,,Lothal,Ahmedabad,Gujarat,1954,Excavation,Harappan,22.553712,72.223735,3,1,Survey,,,,Western Circle, SR Rao,,,,,,,"notes brick size, pottery, blades; phase 1: flood, phase 2: clay rampart, phase 3: most important and last; drains, pottery: 'Harappa culture did not confine itself to north-west India but extended all over Saurashtra and as far south as the northern reaches of Bombay State'",IAR 1955: 12,
IAR_1950s_160111_clean.csv,,Prakash,Dhule,Maharashtra,1954,Excavation,Chalcolithic,20.903098,74.750092,3,1,Survey,,,,South-western Circle,BK Thapar,,,,,,,"notes location on confluence of Tapti and Gomai; 55ft deep occupational strata, four periods: 1000BC - microliths, copper, painted red ware, shell beads, stones; 600-100BC - lapse of time then iron-using culture, black-and-red ware, NBPW = intercourse with sites of comparable date in Ganga-Yamuna, 100BC-300AD - red polished ware, copper, iron, brick structures, 400AD - 'non-descript class' pottery; includes photos",IAR 1955: 13,
IAR_1950s_160111_clean.csv,,Purana Qila,New Delhi,New Delhi,1954,Excavation,PGW,28.615351,77.23686,5,1,Survey,,,,North-western Circle,BB Lal,,,,,,,"notes if identifiable with Indraprastha - 1000 BC PGW, 500BC NBPW, structures, coins, copper and iron, 300BC Mathura, 1 AD Yaudheyas, 100-200 Kushans - excavation not completed; includes photos",IAR 1955: 13-14,
IAR_1950s_160111_clean.csv,,Ahar,Udaipur,Rajasthan,1954,Excavation,Microlithic,24.587982,73.720755,3,3,Rajasthan State,,,,Archaeology and Museums,,,,,,,,"notes distance to Railway Station; previous work; in medieval inscriptions is Aghatapura and capital of Guhila kings; locally known as Dhulkot; 30ft occupation, one break: black-and-red ware+ microliths = 'extension from central and western India'; shapes in historical sites similiar to northern India and Madhya Bharat; includes photos",IAR 1955: 14-15,
IAR_1950s_160111_clean.csv,,Mathura,Mathura,Uttar Pradesh,1954,Excavation,NBPW,27.492413,77.673673,3,1,Survey,,,,Northern Circle,M Venkataramayya, Ballabh Saran,,,,,,"notes signifiance in history; PGW, mud-ramparts, five periods; includes photos",IAR 1955: 15-16,
IAR_1950s_160111_clean.csv,,Rajgir,Patna,Bihar,1954,Excavation,post-NBPW,25.596956,85.18411,5,1,Survey,,,,Mid-eastern Circle,DR Patil,,,,,,,"notes previous work; structures, no NBPW - only post NBPW",IAR 1955: 16,
IAR_1950s_160111_clean.csv,,Kausambi,Allahabad,Uttar Pradesh,1954,Excavation,?,25.435801,81.846311,3,2,University of Allahabad,,,,,GR Sharma,,,,,,,"notes previous work; monastery, rampart, gateway, coins; includes plan and photos",IAR 1955: 16-18,
IAR_1950s_160111_clean.csv,,Kumrahar,Patna,Bihar,1954,Excavation,Mauryan,25.592766,85.186814,3,2,KP Jayaswal Research Institute,,,,,Viyayakanta Mishra,,,,,,,"notes previous work, DB Spooner, 1912 disproved; stupas, figures; includes photos",IAR 1955: 18-19,
IAR_1950s_160111_clean.csv,,Tamluk,Midnapore,West Bengal,1954,Excavation,Neolithic,22.278784,87.918771,3,1,Survey,,,,Eastern Circle,MN Deshpande,,,,,,,"notes 'excavation taken up partly in response to public demand'; town, culture sequence - after Gupta is hard to reconstruct: water-tank digging, latest is brick structures of Rajas and salt-factory owners; includes photos",IAR 1955: 19-20,
IAR_1950s_160111_clean.csv,,Amirthamangalam,Chingleput,Tamil Nadu,1954,Excavation,Megalithic,12.683995,79.983348,3,1,Survey,,,,Southern Circle,NR Banerjee,,,,,,,"notes work at Sanur; urn-burials surrounded by irrigation-tanks, seem simpler than megalithic burials - can't say if early form of burial or degenerate form; includes section and photos",IAR 1955: 21-22,
IAR_1950s_160111_clean.csv,,Nagarjunakonda,Chingleput,Tamil Nadu,1954,Excavation,2nd-5th,12.683995,79.983348,3,1,Survey,,,,South-eastern,,,,,,,,notes structural remains; includes photos,IAR 1955: 22-23,
IAR_1950s_160111_clean.csv,,Tildah,Midnapore,West Bengal,1954,Excavation,Gupta,22.408038,87.381073,3,2,University of Calcutta,,,,,KG Goswami,,,,,,,"notes structures, pottery",IAR 1955: 23,
IAR_1950s_160111_clean.csv,,Kotturu,Visakhapatnam,Andhra Pradesh,1954,Excavation,?,17.524865,82.901069,3,1,Survey,,,,South-eastern,RC Kar,,,,,,,"notes structures, pottery",IAR 1955: 23-24,
IAR_1950s_160111_clean.csv,,Sirpur,Raipur,Madhya Pradesh,1954,Excavation,,22.751069,77.780967,3,2,University of Saugor,Madhya Pradesh State,,,,Moreshwar G Dikshit,,,,,,,"notes monastery, bricks, coins, pottery; includes plan",IAR 1955: 24-26,
IAR_1950s_160111_clean.csv,,Karian,Darbhanga,Bihar,1954,Excavation,900-1800,25.910928,85.995572,3,2,KP Jayaswal Research Institute,,,,,Viyayakanta Mishra,,,,,,,notes structural remains,IAR 1955: 26,
IAR_1950s_160111_clean.csv,,Bhatinda Fort,Bhatinda,Punjab,1954,Excavation,Medieval,30.207984,74.937463,9,1,Survey,,,,,North-western Circle,,,,,,,notes structures; includes photos,IAR 1955: 26,
IAR_1950s_160111_clean.csv,,Dodha,Chittorgarh,Rajasthan,1954,Exploration,Paleolithic,25.029119,74.612037,3,1,Survey,,,,,Western Circle,,,,,,,notes 'South Rajasthan seems to have been a pivotal region where both the Sohan industry of Panjab and the Madras handaxe industry met'; notes proximity to river-beds,IAR 1954: 58,
IAR_1950s_160111_clean.csv,,Parsoli,Chittorgarh,Rajasthan,1954,Exploration,Paleolithic,25.108222,74.884337,3,1,Survey,,,,,Western Circle,,,,,,,notes 'South Rajasthan seems to have been a pivotal region where both the Sohan industry of Panjab and the Madras handaxe industry met'; notes proximity to river-beds,IAR 1954: 58,
IAR_1950s_160111_clean.csv,,Bichore,Chittorgarh,Rajasthan,1954,Exploration,Paleolithic,24.888744,74.626922,3,1,Survey,,,,,Western Circle,,,,,,,notes 'South Rajasthan seems to have been a pivotal region where both the Sohan industry of Panjab and the Madras handaxe industry met'; notes proximity to river-beds,IAR 1954: 58,
IAR_1950s_160111_clean.csv,,Haripura,Chittorgarh,Rajasthan,1954,Exploration,Paleolithic,25.044605,74.828781,3,1,Survey,,,,,Western Circle,,,,,,,notes 'South Rajasthan seems to have been a pivotal region where both the Sohan industry of Panjab and the Madras handaxe industry met'; notes proximity to river-beds,IAR 1954: 58,
IAR_1950s_160111_clean.csv,,Rathanjna,Chittorgarh,Rajasthan,1954,Exploration,Paleolithic,24.888744,74.626922,3,1,Survey,,,,,Western Circle,,,,,,,notes 'South Rajasthan seems to have been a pivotal region where both the Sohan industry of Panjab and the Madras handaxe industry met'; notes proximity to river-beds,IAR 1954: 58,
IAR_1950s_160111_clean.csv,,Sigoh,Chittorgarh,Rajasthan,1954,Exploration,Paleolithic,24.888744,74.626922,3,1,Survey,,,,,Western Circle,,,,,,,notes 'South Rajasthan seems to have been a pivotal region where both the Sohan industry of Panjab and the Madras handaxe industry met'; notes proximity to river-beds,IAR 1954: 58,
IAR_1950s_160111_clean.csv,,Tajpura,Chittorgarh,Rajasthan,1954,Exploration,Paleolithic,24.888744,74.626922,3,1,Survey,,,,,Western Circle,,,,,,,notes 'South Rajasthan seems to have been a pivotal region where both the Sohan industry of Panjab and the Madras handaxe industry met'; notes proximity to river-beds,IAR 1954: 58,
IAR_1950s_160111_clean.csv,,Dhangadman,Chittorgarh,Rajasthan,1954,Exploration,Paleolithic,24.888744,74.626922,3,1,Survey,,,,,Western Circle,,,,,,,notes 'South Rajasthan seems to have been a pivotal region where both the Sohan industry of Panjab and the Madras handaxe industry met'; notes proximity to river-beds,IAR 1954: 58,
IAR_1950s_160111_clean.csv,,Dher Majra,Shimla,Himachal Pradesh,1954,Exploration,Paleolithic,31.029186,76.621561,3,1,Survey,,,,,North-western,,,,,,,notes Sohan tradition,IAR 1954: 58,
IAR_1950s_160111_clean.csv,,Shang,Shimla,Himachal Pradesh,1954,Exploration,Paleolithic,31.104815,77.173403,3,1,Survey,,,,,North-western,,,,,,,notes Sohan tradition,IAR 1954: 58,
IAR_1950s_160111_clean.csv,,Dadhi,Shimla,Himachal Pradesh,1954,Exploration,Paleolithic,31.143354,77.760943,3,1,Survey,,,,,North-western,,,,,,,notes Sohan tradition,IAR 1954: 58,
IAR_1950s_160111_clean.csv,,Merhanwala,Shimla,Himachal Pradesh,1954,Exploration,Paleolithic,31.104815,77.173403,3,1,Survey,,,,,North-western,,,,,,,notes Sohan tradition,IAR 1954: 58,
IAR_1950s_160111_clean.csv,,Daulatpur,Hoshiarpur,Punjab,1954,Exploration,Paleolithic,31.706204,75.804002,3,1,Survey,,,,,North-western,,,,,,,notes Sohan tradition,IAR 1954: 58,
IAR_1950s_160111_clean.csv,,Patan,Jalgaon,Maharashtra,1954,Exploration,Microlithic,20.35035,74.974942,3,1,Survey,,,,,Northern,,,,,,,"notes lithics, chalcedony, quartz, chert, jaspar",IAR 1955:59,
IAR_1950s_160111_clean.csv,,Adamgarh,Hoshangabad,Madhya Pradesh,1954,Exploration,Microlithic,22.744108,77.736967,3,1,Survey,,,,,Northern,,,,,,,"notes lithics, previous work",IAR 1955:59,
IAR_1950s_160111_clean.csv,,Dhang,Nawanshahr,Punjab,1954,Exploration,Harappan,31.091295,76.039191,3,1,Survey,,,,,North-western,,,,,,,"notes sites on river terraces; had not stopped at Rupar, went further north into hills",IAR 1955:59,
IAR_1950s_160111_clean.csv,,Merhanwala,Nawanshahr,Punjab,1954,Exploration,Harappan,31.091295,76.039191,3,1,Survey,,,,,North-western,,,,,,,"notes sites on river terraces; had not stopped at Rupar, went further north into hills",IAR 1955:59,
IAR_1950s_160111_clean.csv,,Manguwal,Nawanshahr,Punjab,1954,Exploration,Harappan,31.149466,76.038466,3,1,Survey,,,,,North-western,,,,,,,"notes sites on river terraces; had not stopped at Rupar, went further north into hills",IAR 1955:59,
IAR_1950s_160111_clean.csv,,Baddi,Nawanshahr,Punjab,1954,Exploration,Harappan,31.135142,76.358664,3,1,Survey,,,,,North-western,,,,,,,"notes sites on river terraces; had not stopped at Rupar, went further north into hills",IAR 1955: 59,
IAR_1950s_160111_clean.csv,,Beran,Sorath,Gujarat,1954,Exploration,Microlithic,21.468982,70.370291,3,1,Survey,,,,,Western Circle,,,,,,,"notes sites, and map",IAR 1955:59,
IAR_1950s_160111_clean.csv,,Keshav,Sorath,Gujarat,1954,Exploration,Microlithic,21.468982,70.370291,3,1,Survey,,,,,Western Circle,,,,,,,"notes sites, and map",IAR 1955:59,
IAR_1950s_160111_clean.csv,,Kaero Timbo,Jhalawar,Rajasthan,1954,Exploration,Harappan,24.597349,76.160984,3,1,Survey,,,,,Western Circle,,,,,,,"notes sites, and map",IAR 1955:59,
IAR_1950s_160111_clean.csv,,Goni Timbo,Jhalawar,Rajasthan,1954,Exploration,Harappan,24.597349,76.160984,3,1,Survey,,,,,Western Circle,,,,,,,"notes sites, and map",IAR 1955:59,
IAR_1950s_160111_clean.csv,,Samadhiala,Jhalawar,Rajasthan,1954,Exploration,Harappan,24.597349,76.160984,3,1,Survey,,,,,Western Circle,,,,,,,"notes sites, and map",IAR 1955:59,
IAR_1950s_160111_clean.csv,,Chashiana,Jhalawar,Rajasthan,1954,Exploration,Harappan,24.597349,76.160984,3,1,Survey,,,,,Western Circle,,,,,,,"notes sites, and map",IAR 1955:59,
IAR_1950s_160111_clean.csv,,Lothal,Ahmedabad,Gujarat,1954,Exploration,Harappan,22.553712,72.223735,3,1,Survey,,,,,Western Circle,,,,,,,"notes sites, and map",IAR 1955:59,
IAR_1950s_160111_clean.csv,,Kana Sutaria,Ahmedabad,Gujarat,1954,Exploration,Harappan,23.022505,72.571362,3,1,Survey,,,,,Western Circle,,,,,,,"notes sites, and map",IAR 1955:59,
IAR_1950s_160111_clean.csv,,Bairat,Jaipur,Rajasthan,1954,Exploration,PGW,27.430998,76.189966,3,1,Survey,,,,Northern,BB Lal,,,,,,,notes pottery,IAR 1955: 59-62,
IAR_1950s_160111_clean.csv,,Bijwa,Alwar,Rajasthan,1954,Exploration,PGW,27.631348,76.851916,3,1,Survey,,,,Northern,BB Lal,,,,,,,notes pottery,IAR 1955: 59-62,
IAR_1950s_160111_clean.csv,,Bhadasa,Gurgaon,Haryana,1954,Exploration,PGW,28.459497,77.026638,3,1,Survey,,,,Northern,BB Lal,,,,,,,notes pottery,IAR 1955: 59-62,
IAR_1950s_160111_clean.csv,,Malab,Gurgaon,Haryana,1954,Exploration,PGW,28.459497,77.026638,3,1,Survey,,,,Northern,BB Lal,,,,,,,notes pottery,IAR 1955: 59-62,
IAR_1950s_160111_clean.csv,,Gohana,Gurgaon,Haryana,1954,Exploration,PGW,28.459497,77.026638,3,1,Survey,,,,Northern,BB Lal,,,,,,,notes pottery,IAR 1955: 59-62,
IAR_1950s_160111_clean.csv,,Hathras,Aligarh,Uttar Pradesh,1954,Exploration,NBPW,27.605621,78.053781,3,1,Survey,,,,Northern,KN Puri,,,,,,,notes pottery,IAR 1955: 59-62,
IAR_1950s_160111_clean.csv,,South Hyderabad,Hyderabad,Andhra Pradesh,1954,Exploration,Microlithic,17.42427,78.434694,3,3,Hyderabad State,,,,Archaeology and Museums,,,,,,,,notes pottery,IAR 1955: 59-62,
IAR_1950s_160111_clean.csv,,Ter,Hyderabad,Andhra Pradesh,1954,Exploration,Andhra,16.904936,80.102026,5,3,Hyderabad State,,,,Archaeology and Museums,,,,,,,,notes pottery,IAR 1955: 59-62,
IAR_1950s_160111_clean.csv,,Baligarh,Darbhanga,Bihar,1954,Exploration,NBPW,26.111868,85.896004,3,2,KP Jayaswal Research Institute,,,,,Viyayakanta Mishra,,,,,,,notes pottery,IAR 1955: 59-62,
IAR_1950s_160111_clean.csv,,Dharhara,Purnia,Bihar,1954,Exploration,NBPW,25.916245,87.164727,3,2,KP Jayaswal Research Institute,,,,,Viyayakanta Mishra,,,,,,,notes pottery,IAR 1955: 59-62,
